week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
1985-06-23,3,3690242,The Odd Couple,Broadhurst Theatre,184435,NA,25.96,NA,7105,1181,0.752,8,0
1985-06-23,3,3690242,The Tap Dance Kid,Minskoff Theatre,177212,NA,26.91,NA,6585,1621,0.5078,8,0
1985-06-30,4,3986642,42nd Street,St. James Theatre,292841,NA,29.41,NA,9957,1655,0.752,8,0
1985-06-30,4,3986642,A Chorus Line,Sam S. Shubert Theatre,230472,NA,29.39,NA,7841,1472,0.6658,8,0
1985-06-30,4,3986642,Aren't We All?,Brooks Atkinson Theatre,210620,NA,31.76,NA,6632,1088,0.7619,8,0
1985-06-30,4,3986642,Arms and the Man,Circle in the Square Theatre,94546,NA,19.96,NA,4737,682,0.8682,8,0
1985-06-30,4,3986642,As Is,Lyceum Theatre,79324,NA,19.61,NA,4045,684,0.7392,8,0
1985-06-30,4,3986642,Big River,Eugene O'Neill Theatre,292678,NA,35.67,NA,8205,1018,1.0075,8,0
1985-06-30,4,3986642,Biloxi Blues,Neil Simon Theatre,308513,NA,27.94,NA,11043,1336,1.0332,8,0
1985-06-30,4,3986642,Brighton Beach Memoirs,46th Street Theatre,123915,NA,19.3,NA,6421,1368,0.5867,8,0
1985-06-30,4,3986642,Cats,Winter Garden Theatre,465011,NA,38.78,NA,11991,1482,1.0114,8,0
1985-06-30,4,3986642,Doubles,Ritz Theatre,69184,NA,18.9,NA,3660,499,0.9168,8,0
1985-06-30,4,3986642,La Cage aux Folles,Palace Theatre,414452,NA,34.37,NA,12058,1683,0.8956,8,0
1985-06-30,4,3986642,Leader of the Pack,Ambassador Theatre,115667,NA,25.18,NA,4594,1083,0.5302,8,0
1985-06-30,4,3986642,Oh! Calcutta!,Edison Theatre,33246,NA,14.22,NA,2338,499,0.5206,9,0
1985-06-30,4,3986642,Singin' in the Rain,Gershwin Theatre,158132,NA,28.41,NA,5566,1933,0.3599,0,8
1985-06-30,4,3986642,Sunday in the Park with George,Booth Theatre,147551,NA,24.74,NA,5965,771,0.9671,8,0
1985-06-30,4,3986642,The King and I,Broadway Theatre,605546,NA,43.78,NA,13833,1765,0.9797,8,0
1985-06-30,4,3986642,The Odd Couple,Broadhurst Theatre,168628,NA,25.84,NA,6525,1181,0.6906,8,0
1985-06-30,4,3986642,The Tap Dance Kid,Minskoff Theatre,176316,NA,27.46,NA,6421,1621,0.4951,8,0
1985-07-07,5,2929052,42nd Street,St. James Theatre,235685,NA,28.44,NA,8288,1655,0.626,8,0
1985-07-07,5,2929052,A Chorus Line,Sam S. Shubert Theatre,183355,NA,29.65,NA,6184,1472,0.5251,8,0
1985-07-07,5,2929052,Aren't We All?,Brooks Atkinson Theatre,177952,NA,29.89,NA,5953,1088,0.6839,8,0
1985-07-07,5,2929052,Arms and the Man,Circle in the Square Theatre,79715,NA,20.39,NA,3910,682,0.7166,8,0
1985-07-07,5,2929052,As Is,Lyceum Theatre,75075,NA,17.83,NA,4210,684,0.7694,8,0
1985-07-07,5,2929052,Big River,Eugene O'Neill Theatre,267335,NA,33.95,NA,7874,1018,0.9668,8,0
1985-07-07,5,2929052,Biloxi Blues,Neil Simon Theatre,276542,NA,31.51,NA,8775,1336,0.821,8,0
1985-07-07,5,2929052,Brighton Beach Memoirs,46th Street Theatre,95933,NA,18.22,NA,5266,1368,0.4812,8,0
1985-07-07,5,2929052,Cats,Winter Garden Theatre,471456,NA,39.06,NA,12069,1482,1.018,8,0
1985-07-07,5,2929052,Doubles,Ritz Theatre,60204,NA,16.65,NA,3615,499,0.9056,8,0
1985-07-07,5,2929052,La Cage aux Folles,Palace Theatre,392549,NA,34.13,NA,11500,1683,0.8541,8,0
